type,NumberOfGenerations,size,function,time_ms
cuda_v1,100,300, Copy Memory D->H, 0.062944
cuda_v1,100,300, Alloc Vectors, 0.271712
cuda_v1,100,300, Copy Memory H->D, 0.084
cuda_v1,100,300, Avg. per Kernel, 0.248339
cuda_v1,100,300, Copy Memory D->H, 0.077504
cuda_v2,100,300, Alloc Vectors, 0.113312
cuda_v2,100,300, Copy Memory H->D, 0.071616
cuda_v2,100,300, Avg. per Kernel, 2.48895
cuda_v2,100,300, Copy Memory D->H, 0.054976
cuda_v2,100,300, Alloc Vectors, 0.157088
cuda_v2,100,300, Copy Memory H->D, 0.068096
cuda_v2,100,300, Avg. per Kernel, 1.64225
cuda_v2,100,300, Copy Memory D->H, 0.056256
cuda_v0,100,1024, Alloc Vectors, 0.172448
cuda_v0,100,1024, Copy Memory H->D, 0.530208
cuda_v0,100,1024, Avg. per Kernel, 1.48351
cuda_v0,100,1024, Copy Memory D->H, 0.49776
cuda_v0,100,1024, Alloc Vectors, 0.180704
cuda_v0,100,1024, Copy Memory H->D, 0.499776
cuda_v0,100,1024, Avg. per Kernel, 1.48919
cuda_v0,100,1024, Copy Memory D->H, 0.506944
cuda_v1,100,1024, Alloc Vectors, 0.112672
cuda_v1,100,1024, Copy Memory H->D, 0.484416
cuda_v1,100,1024, Avg. per Kernel, 0.971826
cuda_v1,100,1024, Copy Memory D->H, 0.45312
cuda_v1,100,1024, Alloc Vectors, 0.17664
cuda_v1,100,1024, Copy Memory H->D, 0.558976
cuda_v1,100,1024, Avg. per Kernel, 0.939359
cuda_v1,100,1024, Copy Memory D->H, 0.909408
cuda_v2,100,1024, Alloc Vectors, 0.147456
cuda_v2,100,1024, Copy Memory H->D, 0.51792
cuda_v2,100,1024, Avg. per Kernel, 0.0051792
cuda_v2,100,1024, Copy Memory D->H, 0.51792
cuda_v2,100,1024, Alloc Vectors, 0.179776
cuda_v2,100,1024, Copy Memory H->D, 0.556576
cuda_v2,100,1024, Avg. per Kernel, 0.00556576
cuda_v2,100,1024, Copy Memory D->H, 0.556576
cuda_v0,100,1024, Alloc Vectors, 0.159744
cuda_v0,100,1024, Copy Memory H->D, 0.505184
cuda_v0,100,1024, Avg. per Kernel, 1.47522
cuda_v0,100,1024, Copy Memory D->H, 0.53504
cuda_v0,100,1024, Alloc Vectors, 0.19344
cuda_v0,100,1024, Copy Memory H->D, 0.530848
cuda_v0,100,1024, Avg. per Kernel, 1.15966
cuda_v0,100,1024, Copy Memory D->H, 0.552288
cuda_v1,100,1024, Alloc Vectors, 0.143776
cuda_v1,100,1024, Copy Memory H->D, 0.498944
